candidate_id,name,ai_recruiter_score
CAND_0041265,Aarav Menon,83.16
CAND_0066461,Nisha Iyengar,83.08
CAND_0080776,Sanjay Tiwari,83.01
CAND_0090890,Tanvi Bansal,82.95
CAND_0071600,Pooja Hegde,82.94
CAND_0016409,Shreya Iyer,82.71
CAND_0042670,Aditya Reddy,82.7
CAND_0042145,Priya Dalal,82.68
CAND_0092560,Arnav Desai,82.66
CAND_0047262,Sneha Vora,82.56
CAND_0091084,Aarohi Sen,82.52
CAND_0097389,Jay Mittal,82.51
CAND_0033532,Ela Agarwal,82.38
CAND_0010461,Advik Hegde,82.36
CAND_0048214,Nisha Subramanian,82.34
CAND_0011120,Aarav Verma,82.33
CAND_0088727,Ved Tiwari,82.3
CAND_0095925,Aadhya Malhotra,82.16
CAND_0023368,Nisha Nair,82.14
CAND_0088285,Sai Rao,82.12
CAND_0009524,Ananya Sen,82.11
CAND_0002728,Naina Bhatia,82.09
CAND_0084077,Meera Subramanian,82.06
CAND_0015673,Krishna Krishnan,82.02
CAND_0058980,Pari Malhotra,81.97
CAND_0009184,Avni Kapoor,81.96
CAND_0089481,Nikhil Chopra,81.96
CAND_0000820,Manish Bose,81.94
CAND_0009398,Riya Bhatia,81.92
CAND_0028068,Krishna Iyengar,81.92
CAND_0093006,Nisha Iyer,81.84
CAND_0001337,Advaith Joshi,81.82
CAND_0023387,Aditya Sen,81.82
CAND_0075950,Neha Sen,81.82
CAND_0014099,Ayaan Joshi,81.79
CAND_0081281,Diya Trivedi,81.72
CAND_0008789,Deepak Malhotra,81.72
CAND_0091562,Nikhil Khanna,81.71
CAND_0032593,Kabir Reddy,81.68
CAND_0094974,Naina Kapoor,81.67
CAND_0057101,Ishaan Sen,81.67
CAND_0015105,Ritu Mukherjee,81.67
CAND_0063130,Dev Menon,81.67
CAND_0097018,Mira Kumar,81.66
CAND_0052176,Aarav Gupta,81.66
CAND_0097802,Suresh Iyer,81.6
CAND_0066927,Om Verma,81.6
CAND_0079616,Aarohi Kumar,81.6
CAND_0081490,Kavya Arora,81.59
CAND_0078165,Shaurya Ghosh,81.58
CAND_0047401,Sanjay Bhatia,81.57
CAND_0063928,Kabir Trivedi,81.57
CAND_0039338,Advik Iyer,81.55
CAND_0038881,Arnav Menon,81.53
CAND_0087733,Aarav Chatterjee,81.52
CAND_0008546,Priya Goyal,81.5
CAND_0009995,Sneha Desai,81.49
CAND_0082793,Neha Desai,81.45
CAND_0048430,Sai Pillai,81.45
CAND_0053614,Rajesh Naidu,81.39
CAND_0060418,Kavya Goyal,81.34
CAND_0095140,Avni Kumar,81.34
CAND_0024710,Amit Sethi,81.3
CAND_0076027,Dhruv Kumar,81.3
CAND_0044064,Tanvi Dutta,81.28
CAND_0068756,Karan Iyengar,81.26
CAND_0014289,Aditya Mittal,81.23
CAND_0069254,Sneha Reddy,81.23
CAND_0075300,Deepak Verma,81.23
CAND_0058098,Ayaan Menon,81.22
CAND_0042905,Tanvi Chowdary,81.17
CAND_0040950,Shreya Nair,81.14
CAND_0029480,Ritu Desai,81.12
CAND_0073888,Dev Menon,81.1
CAND_0077148,Kiara Pillai,81.08
CAND_0017894,Karan Nair,81.08
CAND_0009050,Vihaan Goyal,81.08
CAND_0008616,Aadhya Rao,81.07
CAND_0004940,Avni Nair,81.04
CAND_0081626,Ved Malhotra,81.04
CAND_0084127,Nikhil Pandey,81.03
CAND_0060022,Aanya Sethi,81.03
CAND_0074569,Diya Mukherjee,81.01
CAND_0043279,Aarohi Reddy,81.01
CAND_0021955,Manish Pandey,81.01
CAND_0015494,Ananya Mehta,80.99
CAND_0049247,Mira Bhatia,80.95
CAND_0006181,Ananya Gupta,80.94
CAND_0047278,Dhruv Agarwal,80.9
CAND_0017628,Avni Rao,80.9
CAND_0051377,Aanya Goyal,80.88
CAND_0089306,Ananya Kumar,80.88
CAND_0006984,Pari Patel,80.86
CAND_0096732,Kabir Shetty,80.85
CAND_0072928,Riya Kapoor,80.85
CAND_0074641,Sai Ghosh,80.84
CAND_0049010,Aryan Trivedi,80.83
CAND_0030430,Shreya Dalal,80.82
CAND_0091591,Kavya Verma,80.81
CAND_0034091,Aarav Ghosh,80.81
CAND_0095148,Rajesh Banerjee,80.8
CAND_0056845,Dev Tiwari,80.8
CAND_0086276,Pari Singh,80.79
CAND_0073738,Aditya Verma,80.79
CAND_0097225,Sai Pillai,80.79
CAND_0012611,Nisha Shetty,80.78
CAND_0051672,Rajesh Chatterjee,80.78
CAND_0092041,Pooja Pillai,80.77
CAND_0048024,Om Vora,80.76
CAND_0035210,Aryan Khanna,80.76
CAND_0050528,Saanvi Bansal,80.75
CAND_0036136,Aarohi Shah,80.74
CAND_0083615,Rahul Naidu,80.73
CAND_0018476,Rajesh Chowdary,80.73
CAND_0079444,Shreya Pandey,80.72
CAND_0054189,Arnav Patel,80.66
CAND_0070115,Ananya Menon,80.65
CAND_0033760,Dev Naidu,80.64
CAND_0035887,Ananya Chopra,80.63
CAND_0000970,Aisha Subramanian,80.63
CAND_0021229,Atharv Dutta,80.62
CAND_0007851,Aryan Goyal,80.62
CAND_0056264,Aadhya Gupta,80.62
CAND_0036514,Aditya Mehta,80.59
CAND_0040192,Vikram Tiwari,80.58
CAND_0069581,Advaith Krishnan,80.55
CAND_0011484,Aryan Nair,80.54
CAND_0000878,Ved Bhatia,80.53
CAND_0055107,Myra Mehta,80.51
CAND_0073527,Aditya Saxena,80.5
CAND_0042069,Aarav Shah,80.49
CAND_0059542,Suresh Banerjee,80.48
CAND_0017982,Vihaan Banerjee,80.48
CAND_0001446,Vikram Hegde,80.47
CAND_0080622,Aarav Menon,80.47
CAND_0027765,Jay Bansal,80.46
CAND_0040283,Vikram Kumar,80.46
CAND_0074221,Dhruv Patel,80.41
CAND_0005820,Sai Gupta,80.4
CAND_0062948,Naina Tiwari,80.4
CAND_0042503,Ritu Pandey,80.4
CAND_0061291,Diya Kapoor,80.39
CAND_0086577,Aditya Trivedi,80.38
CAND_0061141,Ayaan Agarwal,80.37
CAND_0029630,Atharv Trivedi,80.36
CAND_0058111,Anjali Dutta,80.36
CAND_0010994,Dhruv Saxena,80.35
CAND_0014601,Suresh Sethi,80.35
CAND_0024123,Aisha Sethi,80.35
CAND_0035391,Rohan Krishnan,80.34
CAND_0095922,Krishna Iyengar,80.34
CAND_0001712,Nikhil Trivedi,80.34
CAND_0029363,Vikram Ghosh,80.33
CAND_0071511,Zara Gupta,80.32
CAND_0024357,Om Shah,80.31
CAND_0079291,Vihaan Iyengar,80.31
CAND_0080124,Diya Reddy,80.31
CAND_0010336,Ayaan Pandey,80.3
CAND_0098595,Vikram Pillai,80.29
CAND_0022691,Pooja Naidu,80.28
CAND_0036360,Aarohi Goyal,80.28
